Team 1,Team 2,Odds 1,Odds 2,Odds 1 Source,Odds 2 Source,Game,Amount 1,Amount 2,Team 1 Win Return %,Team 2 Win Return %
C9,FNC,1.72,4.05,Unibet,Sportsbet,C9 vs FNC,4.05,1.72,20.727902946273822,20.727902946273822
C9,FNC,1.72,4.05,Unibet,Sportsbet,C9 vs FNC,1.0,0.72,0.0,69.53488372093024
C9,FNC,1.72,4.05,Unibet,Sportsbet,C9 vs FNC,3.05,1.0,29.53086419753086,0.0
DK,G2,2.03,2.8,Sportsbet,Unibet,DK vs G2,2.8,2.03,17.68115942028985,17.68115942028985
DK,G2,2.03,2.8,Sportsbet,Unibet,DK vs G2,1.0,1.0299999999999998,0.0,42.068965517241374
DK,G2,2.03,2.8,Sportsbet,Unibet,DK vs G2,1.7999999999999998,1.0,30.499999999999993,0.0
EG,JDG,5.3,2.74,Picklebet,Sportsbet,EG vs JDG,2.74,5.3,80.6218905472637,80.6218905472637
EG,JDG,5.3,2.74,Picklebet,Sportsbet,EG vs JDG,1.0,4.3,0.0,122.30188679245285
EG,JDG,5.3,2.74,Picklebet,Sportsbet,EG vs JDG,1.7400000000000002,1.0,236.56934306569343,0.0
EDG,T1,5.75,1.82,Sportsbet,Picklebet,EDG vs T1,1.82,5.75,38.24306472919419,38.24306472919419
EDG,T1,5.75,1.82,Sportsbet,Picklebet,EDG vs T1,1.0,4.75,0.0,50.347826086956516
EDG,T1,5.75,1.82,Sportsbet,Picklebet,EDG vs T1,0.8200000000000001,1.0,159.06593406593407,0.0
GEN,RNG,1.83,3.05,Sportsbet,Neds,GEN vs RNG,3.05,1.83,14.375000000000004,14.375000000000004
GEN,RNG,1.83,3.05,Sportsbet,Neds,GEN vs RNG,1.0,0.8300000000000001,0.0,38.33333333333333
GEN,RNG,1.83,3.05,Sportsbet,Neds,GEN vs RNG,2.05,1.0,23.0,0.0
DRX,RGE,3.18,2.5,Sportsbet,Picklebet,DRX vs RGE,2.5,3.18,39.964788732394375,39.964788732394375
DRX,RGE,3.18,2.5,Sportsbet,Picklebet,DRX vs RGE,1.0,2.18,0.0,71.38364779874213
DRX,RGE,3.18,2.5,Sportsbet,Picklebet,DRX vs RGE,1.5,1.0,90.80000000000001,0.0
FNC,T1,5.0,1.44,Unibet,Sportsbet,FNC vs T1,1.44,5.0,11.801242236024834,11.801242236024834
FNC,T1,5.0,1.44,Unibet,Sportsbet,FNC vs T1,1.0,4.0,0.0,15.199999999999992
FNC,T1,5.0,1.44,Unibet,Sportsbet,FNC vs T1,0.43999999999999995,1.0,52.77777777777777,0.0
FNC,T1,5.0,2.03,Unibet,Sportsbet,FNC vs T1,2.03,5.0,44.38122332859174,44.38122332859174
FNC,T1,5.0,2.03,Unibet,Sportsbet,FNC vs T1,1.0,4.0,0.0,62.39999999999999
FNC,T1,5.0,2.03,Unibet,Sportsbet,FNC vs T1,1.0299999999999998,1.0,153.69458128078813,0.0
C9,EDG,4.5,5.75,Picklebet,Sportsbet,C9 vs EDG,5.75,4.5,152.4390243902439,152.4390243902439
C9,EDG,4.5,5.75,Picklebet,Sportsbet,C9 vs EDG,1.0,3.5,0.0,347.22222222222223
C9,EDG,4.5,5.75,Picklebet,Sportsbet,C9 vs EDG,4.75,1.0,271.7391304347826,0.0
C9,EDG,4.5,5.5,Picklebet,Sportsbet,C9 vs EDG,5.5,4.5,147.5,147.5
C9,EDG,4.5,5.5,Picklebet,Sportsbet,C9 vs EDG,1.0,3.5,0.0,327.77777777777777
C9,EDG,4.5,5.5,Picklebet,Sportsbet,C9 vs EDG,4.5,1.0,268.1818181818182,0.0
GAM,TES,7.0,1.2,Picklebet,Sportsbet,GAM vs TES,1.2,7.0,2.4390243902439046,2.4390243902439046
GAM,TES,7.0,1.2,Picklebet,Sportsbet,GAM vs TES,1.0,6.0,0.0,2.857142857142847
GAM,TES,7.0,1.2,Picklebet,Sportsbet,GAM vs TES,0.19999999999999996,1.0,16.66666666666665,0.0
DK,JDG,2.6,8.5,Neds,Sportsbet,DK vs JDG,8.5,2.6,99.0990990990991,99.0990990990991
DK,JDG,2.6,8.5,Neds,Sportsbet,DK vs JDG,1.0,1.6,0.0,423.0769230769231
DK,JDG,2.6,8.5,Neds,Sportsbet,DK vs JDG,7.5,1.0,129.41176470588235,0.0
DK,JDG,2.6,4.4,Neds,Sportsbet,DK vs JDG,4.4,2.6,63.42857142857146,63.42857142857146
DK,JDG,2.6,4.4,Neds,Sportsbet,DK vs JDG,1.0,1.6,0.0,170.76923076923077
DK,JDG,2.6,4.4,Neds,Sportsbet,DK vs JDG,3.4000000000000004,1.0,100.90909090909092,0.0
100,GEN,7.5,1.49,Picklebet,Sportsbet,100 vs GEN,1.49,7.5,24.3047830923248,24.3047830923248
100,GEN,7.5,1.49,Picklebet,Sportsbet,100 vs GEN,1.0,6.5,0.0,29.133333333333344
100,GEN,7.5,1.49,Picklebet,Sportsbet,100 vs GEN,0.49,1.0,146.6442953020134,0.0
EDG,FNC,8.5,4.5,Sportsbet,Picklebet,EDG vs FNC,4.5,8.5,194.23076923076925,194.23076923076925
EDG,FNC,8.5,4.5,Sportsbet,Picklebet,EDG vs FNC,1.0,7.5,0.0,297.05882352941177
EDG,FNC,8.5,4.5,Sportsbet,Picklebet,EDG vs FNC,3.5,1.0,561.1111111111111,0.0
C9,T1,4.5,4.9,Unibet,Sportsbet,C9 vs T1,4.9,4.5,134.5744680851064,134.5744680851064
C9,T1,4.5,4.9,Unibet,Sportsbet,C9 vs T1,1.0,3.5,0.0,281.1111111111112
C9,T1,4.5,4.9,Unibet,Sportsbet,C9 vs T1,3.9000000000000004,1.0,258.16326530612247,0.0
CFO,RNG,5.5,4.4,Unibet,Sportsbet,CFO vs RNG,4.4,5.5,144.44444444444446,144.44444444444446
CFO,RNG,5.5,4.4,Unibet,Sportsbet,CFO vs RNG,1.0,4.5,0.0,260.0
CFO,RNG,5.5,4.4,Unibet,Sportsbet,CFO vs RNG,3.4000000000000004,1.0,325.0,0.0
DRX,TES,2.8,6.0,Unibet,Sportsbet,DRX vs TES,6.0,2.8,90.90909090909085,90.90909090909085
DRX,TES,2.8,6.0,Unibet,Sportsbet,DRX vs TES,1.0,1.7999999999999998,0.0,285.7142857142857
DRX,TES,2.8,6.0,Unibet,Sportsbet,DRX vs TES,5.0,1.0,133.33333333333334,0.0
G2,JDG,4.0,2.93,Picklebet,Sportsbet,G2 vs JDG,2.93,4.0,69.11976911976913,69.11976911976913
G2,JDG,4.0,2.93,Picklebet,Sportsbet,G2 vs JDG,1.0,3.0,0.0,119.75000000000003
G2,JDG,4.0,2.93,Picklebet,Sportsbet,G2 vs JDG,1.9300000000000002,1.0,163.48122866894198,0.0
RGE,TES,4.0,4.05,Picklebet,Sportsbet,RGE vs TES,4.05,4.0,101.2422360248447,101.2422360248447
RGE,TES,4.0,4.05,Picklebet,Sportsbet,RGE vs TES,1.0,3.0,0.0,203.74999999999997
RGE,TES,4.0,4.05,Picklebet,Sportsbet,RGE vs TES,3.05,1.0,201.23456790123458,0.0
DK,EG,4.05,4.0,Sportsbet,Picklebet,DK vs EG,4.0,4.05,101.2422360248447,101.2422360248447
DK,EG,4.05,4.0,Sportsbet,Picklebet,DK vs EG,1.0,3.05,0.0,201.23456790123458
DK,EG,4.05,4.0,Sportsbet,Picklebet,DK vs EG,3.0,1.0,203.74999999999997,0.0
100,RNG,4.2,4.05,Unibet,Sportsbet,100 vs RNG,4.05,4.2,106.1818181818182,106.1818181818182
100,RNG,4.2,4.05,Unibet,Sportsbet,100 vs RNG,1.0,3.2,0.0,208.57142857142858
100,RNG,4.2,4.05,Unibet,Sportsbet,100 vs RNG,3.05,1.0,216.29629629629633,0.0
CFO,GEN,10.0,4.4,Unibet,Sportsbet,CFO vs GEN,4.4,10.0,205.55555555555554,205.55555555555554
CFO,GEN,10.0,4.4,Unibet,Sportsbet,CFO vs GEN,1.0,9.0,0.0,296.0
CFO,GEN,10.0,4.4,Unibet,Sportsbet,CFO vs GEN,3.4000000000000004,1.0,672.7272727272726,0.0
DRX,GAM,13.0,3.45,Sportsbet,Neds,DRX vs GAM,3.45,13.0,172.64437689969606,172.64437689969606
DRX,GAM,13.0,3.45,Sportsbet,Neds,DRX vs GAM,1.0,12.0,0.0,218.46153846153848
DRX,GAM,13.0,3.45,Sportsbet,Neds,DRX vs GAM,2.45,1.0,823.1884057971014,0.0
